modelIdentifier;supplierOrTrademark;powerOnModeSDR;category
65UA2063DA;TOSHIBA;109.0;TELEVISION
LD 24 HD VII WHITE;ELECTRONIA;22.0;TELEVISION
LD 24 VII SMART;ELECTRONIA;22.0;TELEVISION
LD 39 VII;ELECTRONIA;36.0;TELEVISION
TFA55U550UHD;TELEFUNKEN;82.0;TELEVISION
32LL3A63DG;TOSHIBA;32.0;TELEVISION
32L3963DG;TOSHIBA;32.0;TELEVISION
43UL6B63DG;Toshiba;54.0;TELEVISION
32LL3B64DG;TOSHIBA;32.0;TELEVISION
32LA2B63DG;Toshiba;32.0;TELEVISION
55EA2204;Salora;82.0;TELEVISION
55-FAE-7360;FINLUX;82.0;TELEVISION
55MUB8101;METZ;111.0;TELEVISION
LT-24VH5000;JVC;22.0;TELEVISION
LT-32VH5000;JVC;32.0;TELEVISION
LT-55VU6900;JVC;82.0;TELEVISION
LT-32VAF3000;JVC;32.0;TELEVISION
LT-43VA6900S;JVC;54.0;TELEVISION
24-FHD-5760;FINLUX;22.0;TELEVISION
43MUC5000;METZ;70.0;TELEVISION
43ADS668S;VOX Electronics;65.0;TELEVISION
E75AN90;EAS ELECTRIC;155.0;TELEVISION
LT-32K100;JVC;31.0;TELEVISION
LT-32K394;JVC;31.0;TELEVISION
G2868;AOC;32.3;MONITOR
AG271QG;AOC;32.0;MONITOR
AG273QCX;AOC;35.4;MONITOR
AG273QX;AOC;31.5;MONITOR
AG353UCG;AOC;90.0;MONITOR
C27G2ZU;AOC;26.0;MONITOR
Q3279VWF;AOC;38.0;MONITOR
TX-24GW334;Panasonic;22.0;TELEVISION
TX-32FS503B;Panasonic;33.0;TELEVISION
TX-32FSW504S;Panasonic;33.0;TELEVISION
TX-32G302B;Panasonic;32.0;TELEVISION
TX-39GW334;Panasonic;43.0;TELEVISION
TX-40HXW804;Panasonic;48.0;TELEVISION
TX-65HX700E;Panasonic;109.0;TELEVISION
TX-65HXF887;Panasonic;95.0;TELEVISION
TX-65HXF977;Panasonic;95.0;TELEVISION
TX-65HXW584;Panasonic;109.0;TELEVISION
TX-65HXW904;Panasonic;83.0;TELEVISION
T24i-2L(C20238FT0);Lenovo;14.1;MONITOR
 VS17552;ViewSonic;19.5;MONITOR
KE-85XH8096;SONY;205.0;TELEVISION
KE-65XH8077;SONY;126.0;TELEVISION
KE-55XH8096;SONY;99.0;TELEVISION
KD-49XH8196;SONY;74.0;TELEVISION
KE-65A87;SONY;141.0;TELEVISION
KE-55A87;SONY;111.0;TELEVISION
KD-85ZH8;SONY;487.0;TELEVISION
KE-48A9;SONY;90.0;TELEVISION
40A5100F;Hisense;47.0;TELEVISION
40A5600F;Hisense;47.0;TELEVISION
40A5600FTUK;Hisense;47.0;TELEVISION
58A7100F;Hisense;99.0;TELEVISION
H32A5800;Hisense;37.0;TELEVISION
G2440HSU-B1;IIYAMA CORPORATION;17.5;MONITOR
G2760QSU-B1;IIYAMA CORPORATION;30.9;MONITOR
B2791QSU-B1 C;IIYAMA CORPORATION;28.8;MONITOR
32A5120F;Hisense;32.0;TELEVISION
HP E243(HSTND-9581-A);HP, Inc.;17.0;MONITOR
HP E273m(HSTND-9621-A);HP, Inc.;23.0;MONITOR
LE5040UHS-B1;IIYAMA CORPORATION;121.0;SIGNAGE
58HAK6150;HITACHI;70.0;TELEVISION
50HK6100;HITACHI;71.0;TELEVISION
24HE2201;HITACHI;22.0;TELEVISION
65HAK5751;HITACHI;109.0;TELEVISION
34WN80C;LG Electronics;39.7;MONITOR
32UL750;LG Electronics;39.8;MONITOR
35WN65C;LG Electronics;40.4;MONITOR
32GK850G;LG Electronics;39.3;MONITOR
43A7340F;Hisense;58.0;TELEVISION
40AE5600FA;Hisense;45.0;TELEVISION
40AE5610FA;Hisense;45.0;TELEVISION
Z27q G3 HSD-0078-W;HP, Inc.;23.0;MONITOR
Z24f G3 HSD-0075-W;HP, Inc.;12.5;MONITOR
E24q G4 HSD-0055-Q;HP, Inc.;18.5;MONITOR
LH4982SB-B1;IIYAMA CORPORATION;135.0;SIGNAGE
MQLFHD24PR001;POLAROID;21.0;MONITOR
MQLFHD27PR001;POLAROID;23.0;MONITOR
S24R652FDU;Samsung;18.0;MONITOR
UE32T4000AW;Samsung;27.0;TELEVISION
BE43T-H;Samsung;82.0;SIGNAGE
PM43F-BC;Samsung;117.0;SIGNAGE
QH43R;Samsung;106.0;SIGNAGE
29UM59;LG Electronics;23.8;MONITOR
43AE7200FTUK;Hisense;58.0;TELEVISION
43AE7210FTUK;Hisense;58.0;TELEVISION
43A7120F;Hisense;58.0;TELEVISION
43AE7000FTUK;Hisense;58.0;TELEVISION
43TA3E;LG Electronics;77.9;SIGNAGE
H32AE5720;Hisense;37.0;TELEVISION
H32AE5800UK;Hisense;37.0;TELEVISION
50A7340F;Hisense;76.0;TELEVISION
50AE7200F;Hisense;76.0;TELEVISION
50AE7250F;Hisense;76.0;TELEVISION
50A7300FTUK;Hisense;76.0;TELEVISION
50AE7200FTUK;Hisense;76.0;TELEVISION
55EJ5E;LG Electronics;171.2;SIGNAGE
65EJ5E;LG Electronics;220.3;SIGNAGE
55A7300FTUK;Hisense;86.0;TELEVISION
43 LA4900;NABO;42.0;TELEVISION
55AE7200FTUK;Hisense;86.0;TELEVISION
58A7140F;Hisense;99.0;TELEVISION
58AE7010F;Hisense;99.0;TELEVISION
58AE7050F;Hisense;99.0;TELEVISION
58AE7000FTUK;Hisense;99.0;TELEVISION
32AE5610FA;Hisense;33.0;TELEVISION
32AE5510F;Hisense;32.0;TELEVISION
40A5740FA;Hisense;45.0;TELEVISION
40AE5650FA;Hisense;45.0;TELEVISION
40AE5730FA;Hisense;45.0;TELEVISION
Z24n G3 HSD-0076-W;HP, Inc.;16.6;MONITOR
LH5582SB-B1;IIYAMA CORPORATION;146.0;SIGNAGE
E22 G4 HSD-0052-Q;HP, Inc.;13.0;MONITOR
E24t G4 HSD-0059-Q;HP, Inc.;18.0;MONITOR
E24i G4 HSD-0056-Q;HP, Inc.;15.3;MONITOR
D22-20(A20215FD0);Lenovo;13.2;MONITOR
43P611X1;TCL;44.0;TELEVISION
S27R350FHU;Samsung;22.0;MONITOR
DC43J;Samsung;58.0;SIGNAGE
QE43T;Samsung;80.0;SIGNAGE
QM43R-T;Samsung;72.0;SIGNAGE
OH46F;Samsung;211.0;SIGNAGE
OM46N;Samsung;231.0;SIGNAGE
UD46E-A;Samsung;185.0;SIGNAGE
UM46N-E;Samsung;79.0;SIGNAGE
QB49R;Samsung;103.0;SIGNAGE
QH49R;Samsung;109.0;SIGNAGE
OM55N;Samsung;276.0;SIGNAGE
QM55R;Samsung;108.0;SIGNAGE
UM55H-E;Samsung;120.0;SIGNAGE
A32HD0720BS;AYA;33.0;TELEVISION
43PFS5525/12;PHILIPS;48.0;TELEVISION
43PFT5525/05;PHILIPS;48.0;TELEVISION
24PFS5505/12;PHILIPS;21.0;TELEVISION
24PFS5525/12;PHILIPS;21.0;TELEVISION
XU2792UHSU-B1;IIYAMA CORPORATION;31.9;MONITOR
24PFS5535/12;PHILIPS;21.0;TELEVISION
32PFS6805/12;PHILIPS;27.0;TELEVISION
Fineo 49TY82 UHD twin R;Metz;97.0;TELEVISION
ET2403LM;Elo ;18.0;MONITOR
G2470HSU-B1;IIYAMA CORPORATION;18.6;MONITOR
GB2770HSU-B1;IIYAMA CORPORATION;18.8;MONITOR
E190i  HSTND-3891-W ;HP, Inc.;11.0;MONITOR
LT-40C591;JVC;45.0;TELEVISION
B2083HSD-B1 C;IIYAMA CORPORATION;15.4;MONITOR
34WP65G;LG Electronics;31.0;MONITOR
C24F396FHU;Samsung;24.0;MONITOR
C24RG50FQU;Samsung;32.0;MONITOR
C27F398FWU;Samsung;29.0;MONITOR
C27G73TQSU;Samsung;60.0;MONITOR
C27R504FHU;Samsung;34.0;MONITOR
C32F395FWU;Samsung;31.0;MONITOR
C32G73TQSU;Samsung;73.0;MONITOR
C34G55TWWU;Samsung;38.0;MONITOR
C34H890WGU;Samsung;57.0;MONITOR
C49G93TSSU;Samsung;108.0;MONITOR
F24T400FHU;Samsung;20.0;MONITOR
T2454MSC-B1AG;IIYAMA CORPORATION;20.0;MONITOR
 TCSANDPC504KPR1;POLAROID;86.0;TELEVISION
OCEALED40S20B6;Oceanic;43.0;TELEVISION
SMT55F30UV2M1B1;Smarttech;78.0;TELEVISION
SMT65E1MUV2M1B1;Smarttech;118.0;TELEVISION
SMT40N30FC4U1B1;Smarttech;43.0;TELEVISION
32QN650;LG Electronics;38.9;MONITOR
49UN73006LA;LG Electronics;61.9;TELEVISION
65UN73006LA;LG Electronics;136.0;TELEVISION
55A667JBL;VOX Electronics;104.3;TELEVISION
43UG6420X1;THOMSON;39.0;TELEVISION
LED4345UHDA;Andersson;54.0;TELEVISION
LED43SMART;Luxor;42.0;TELEVISION
LED3245FHDS;Andersson;32.0;TELEVISION
B3225HD;SKANTIC;32.0;TELEVISION
Z27k G3 HSD-0080-W;HP, Inc.;26.0;MONITOR
A32HD0121BS;AYA;33.0;TELEVISION
EK222Q;acer;18.0;MONITOR
XZ342CK;acer;31.0;MONITOR
E2283HS-B5;IIYAMA CORPORATION;14.3;MONITOR
X2283HS-B5;IIYAMA CORPORATION;18.8;MONITOR
B2483HSU-B5;IIYAMA CORPORATION;18.1;MONITOR
SL-24 DS;alphatronics GmbH;22.0;TELEVISION
E2482HS-B5;IIYAMA CORPORATION;17.8;MONITOR
G2530HSU-B1;IIYAMA CORPORATION;18.1;MONITOR
GB2530HSU-B1 C;IIYAMA CORPORATION;18.1;MONITOR
U32J590UQU;Samsung;47.0;MONITOR
U32R590CWU;Samsung;48.0;MONITOR
U32R594CWU;Samsung;48.0;MONITOR
HP Z25xs G3(HSD-0071-A);HP, Inc.;23.0;MONITOR
HP E24i G4(HSD-0056-A);HP, Inc.;15.0;MONITOR
55EP681X1;TCL;75.0;TELEVISION
HP OMEN 27i(HSD-0048-L);HP, Inc.;64.0;OTHER
50P618X1;TCL;51.0;TELEVISION
55AP610X1;TCL;60.0;TELEVISION
VA27EHE;ASUS;21.7;MONITOR
TVSAND32HDPR02;POLAROID;33.0;TELEVISION
55MUB7011;METZ;111.0;TELEVISION
39-LXFE-4110;Luxor;36.0;TELEVISION
ET3203L;Elo ;29.3;SIGNAGE
HP Engage One 10tw(HSTND-9771-A);HP, Inc.;9.0;MONITOR
HP Engage One 10t(HSTND-9771-A);HP, Inc.;9.0;MONITOR
CB242Y;acer;18.0;MONITOR
TV-49S61T2S2SM;VIVAX;68.9;TELEVISION
32HA330;Salora;32.0;TELEVISION
55UN73006LA;LG Electronics;102.0;TELEVISION
MD 31755;MEDION;82.0;TELEVISION
KB242HYL;acer;18.0;MONITOR
S241HL;acer;22.1;MONITOR
S271HL;acer;26.1;MONITOR
58HL7590U/B;HORIZON;70.0;TELEVISION
24HL6130H/B;HORIZON;22.0;TELEVISION
32HL7390F/B;HORIZON;32.0;TELEVISION
39HL6330H/B;HORIZON;36.0;TELEVISION
43HL8530U/B;HORIZON;54.0;TELEVISION
F27T352FHU;Samsung;29.0;MONITOR
S22E450B;Samsung;23.0;MONITOR
S22E450MW;Samsung;23.0;MONITOR
S22E450DW;Samsung;23.0;MONITOR
S24D332H;Samsung;23.0;MONITOR
S24E450M;Samsung;27.0;MONITOR
S24E450D;Samsung;26.0;MONITOR
S24E650BW;Samsung;30.0;MONITOR
